Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12
MF Kendal,CNIM Joyce,KJ Garth,CMA Shillington,L Delany,IMHC Joyce,GH Lewis,MV Waldron,RA Lewis,LK O'Reilly,CJ Metcalfe,Sharmin Sultana
MDN Hansika,AC Jayangani,PRCS Kumarihami,MADD Surangika,PM Weerakkody,LE Kaushalya,GWHM Perera,SS Weerakkody,KDU Prabodhani,I Ranaweera,BMSM Kumari,L Lee
Sharmin Sultana,Sharmin Akhter,Sanjida Islam,Fargana Hoque,Rumana Ahmed,Nigar Sultana,Salma Khatun,Shaila Sharmin,Jahanara Alam,Panna Ghosh,Khadija Tul Kubra,MR Meshram
Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nain Abidi,Aliya Riaz,Sana Mir,Aiman Anwer,Nashra Sandhu,Sadia Yousuf,0,MF Kendal
Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nain Abidi,Aliya Riaz,Sana Mir,Rabiya Shah,Sadia Yousuf,Nashra Sandhu,Maham Tariq,MR Meshram
MF Kendal,CNIM Joyce,KJ Garth,L Delany,IMHC Joyce,GH Lewis,CMA Shillington,MV Waldron,LK O'Reilly,AJ Kenealy,CJ Metcalfe,L Lee
L Lee,L Wolvaardt,M du Preez,T Chetty,CL Tryon,D van Niekerk,M Kapp,S Luus,S Ismail,A Khaka,MM Letsoalo,MR Meshram
Ahmed Shehzad,Kamran Akmal,Mohammad Hafeez,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Mohammad Amir,Hasan Ali,Wahab Riaz,Shadab Khan,E Lewis
Ahmed Shehzad,Kamran Akmal,Babar Azam,Mohammad Hafeez,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Mohammad Amir,Junaid Khan,Hasan Ali,Shadab Khan,E Lewis
E Lewis,CAK Walton,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,AR Nurse,V Permaul,D Bishoo,ST Gabriel,Kamran Akmal
MH Cross,KJ Coetzer,CS MacLeod,JH Davey,HG Munsey,CD de Lange,CD Wallace,SM Sharif,MRJ Watt,CB Sole,BTJ Wheal,C Carter
MH Cross,KJ Coetzer,CS MacLeod,JH Davey,RD Berrington,CD Wallace,MA Leask,SM Sharif,MRJ Watt,CB Sole,BTJ Wheal,Rohan Mustafa
C Carter,C McAuslan,Babar Hayat,Nizakat Khan,Waqas Khan,Shahid Wasif,Ehsan Khan,Aizaz Khan,Ehsan Nawaz,Nadeem Ahmed,Tanveer Ahmed,Rohan Mustafa
Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Hashmatullah Shahidi,Mohammad Nabi,Najibullah Zadran,Gulbadin Naib,Rashid Khan,Dawlat Zadran,Amir Hamza,PJ Moor
Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Mohammad Nabi,Najibullah Zadran,Gulbadin Naib,Rashid Khan,Dawlat Zadran,Hashmatullah Shahidi,Amir Hamza,SF Mire
PJ Moor,SF Mire,TK Musakanda,CR Ervine,SC Williams,RP Burl,MN Waller,AG Cremer,TL Chatara,R Ngarava,CB Mpofu,Mohammad Shahzad
Mohammad Shahzad,Ihsanullah,Rahmat Shah,Asghar Stanikzai,Hashmatullah Shahidi,Karim Janat,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Rashid Khan,Fareed Ahmad,SF Mire
Mohammad Shahzad,Noor Ali Zadran,Gulbadin Naib,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Najibullah Zadran,Rashid Khan,Dawlat Zadran,Amir Hamza,PJ Moor
WTS Porterfield,PR Stirling,A Balbirnie,NJ O'Brien,KJ O'Brien,GC Wilson,AR McBrine,GH Dockrell,SR Thompson,CA Young,PKD Chase,Rohan Mustafa
Rohan Mustafa,Mohammad Naveed,Ghulam Shabber,Shaiman Anwar,Rameez Shahzad,Muhammad Usman,Adnan Mufti,Ahmed Raza,Amjad Javed,Imran Haider,Zahoor Khan,WTS Porterfield
PA Patel,JC Buttler,RG Sharma,N Rana,AT Rayudu,KH Pandya,KA Pollard,HH Pandya,TG Southee,MJ McClenaghan,JJ Bumrah,AM Rahane
G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,TA Boult,Kuldeep Yadav,AS Rajpoot,PA Patel
HM Amla,M Vohra,MP Stoinis,GJ Maxwell,DA Miller,WP Saha,MM Sharma,AR Patel,VR Aaron,Sandeep Sharma,I Sharma,SP Narine
HM Amla,SE Marsh,WP Saha,GJ Maxwell,MP Stoinis,AR Patel,Sandeep Sharma,I Sharma,MM Sharma,Swapnil Singh,0,PA Patel
AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,JD Unadkat,SN Thakur,Washington Sundar,Imran Tahir,0,SP Narine
DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,B Kumar,Mohammed Siraj,S Kaul,Rashid Khan,0,0,SV Samson
DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni,SV Samson
HM Amla,MJ Guptill,SE Marsh,M Vohra,WP Saha,GJ Maxwell,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan,Mandeep Singh
LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,MJ McClenaghan,SL Malinga,JJ Bumrah,Harbhajan Singh,KV Sharma,0,SV Samson
LMP Simmons,PA Patel,N Rana,RG Sharma,HH Pandya,KA Pollard,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah,DA Warner
MJ Guptill,WP Saha,GJ Maxwell,SE Marsh,AR Patel,Sandeep Sharma,MJ Henry,I Sharma,MM Sharma,R Tewatia,0,LMP Simmons
SS Tiwary,LMP Simmons,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,TG Southee,MG Johnson,KV Sharma,R Vinay Kumar,SP Narine
CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,Avesh Khan,YS Chahal,HV Patel,SV Samson
LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,KV Sharma,MG Johnson,JJ Bumrah,SL Malinga,AM Rahane
Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Mahmudullah,Mashrafe Mortaza,Mehedi Hasan Miraz,Taskin Ahmed,Mustafizur Rahman,MD Gunathilaka
MD Gunathilaka,WU Tharanga,BKG Mendis,LD Chandimal,TAM Siriwardana,DAS Gunaratne,NLTC Perera,S Prasanna,MDK Perera,KMDN Kulasekara,RAS Lakmal,Tamim Iqbal
MDN Hansika,PRCS Kumarihami,AC Jayangani,LE Kaushalya,MADD Surangika,HASD Siriwardene,PM Weerakkody,SS Weerakkody,KDU Prabodhani,I Ranaweera,HHC Gunaratne,SW Bates
PG Raut,S Mandhana,M Raj,H Kaur,J Goswami,E Bisht,S Pandey,Poonam Yadav,DB Sharma,0,0,TT Beaumont
Ayesha Zafar,Nahida Khan,Javeria Khan,Bismah Maroof,Nain Abidi,Kainat Imtiaz,Asmavia Iqbal,Sana Mir,Sidra Nawaz,Sadia Yousuf,Nashra Sandhu,L Wolvaardt
HK Matthews,F Walters,CN Nation,SR Taylor,DJS Dottin,MR Aguilleira,SF Daley,A Mohammed,ASS Fletcher,SC Selman,SS Connell,BL Mooney
HK Matthews,F Walters,SR Taylor,DJS Dottin,MR Aguilleira,Kyshona A Knight,CN Nation,SF Daley,ASS Fletcher,A Mohammed,SS Connell,PG Raut
MDN Hansika,AC Jayangani,PRCS Kumarihami,MADD Surangika,PM Weerakkody,HASD Siriwardene,GWHM Perera,LE Kaushalya,SS Weerakkody,KDU Prabodhani,I Ranaweera,NE Bolton
MDN Hansika,GWHM Perera,AC Jayangani,HASD Siriwardene,MADD Surangika,H Madavi,OU Ranasinghe,LE Kaushalya,KADA Kanchana,SS Weerakkody,I Ranaweera,L Winfield
SW Bates,RH Priest,AE Satterthwaite,KJ Martin,SFM Devine,KT Perkins,AM Peterson,EM Bermingham,LMM Tahuhu,AC Kerr,HR Huddleston,BL Mooney
PG Raut,S Mandhana,DB Sharma,M Raj,H Kaur,MR Meshram,S Verma,J Goswami,M Joshi,E Bisht,Poonam Yadav,Ayesha Zafar
HK Matthews,R Boyce,SR Taylor,CN Nation,Kyshona A Knight,DJS Dottin,MR Aguilleira,SF Daley,ASS Fletcher,A Mohammed,Q Joseph,L Wolvaardt
L Winfield,TT Beaumont,SJ Taylor,NR Sciver,KH Brunt,HC Knight,DN Wyatt,A Shrubsole,A Hartley,D Hazell,0,L Wolvaardt
PG Raut,S Mandhana,DB Sharma,M Raj,J Goswami,V Krishnamurthy,H Kaur,M Joshi,S Verma,E Bisht,Poonam Yadav,MDN Hansika
NE Bolton,BL Mooney,EA Perry,RL Haynes,EJ Villani,AJ Blackwell,AJ Healy,JL Jonassen,A Gardner,SE Aley,KM Beams,Ayesha Zafar
HK Matthews,Kycia A Knight,SR Taylor,CN Nation,DJS Dottin,MR Aguilleira,Kyshona A Knight,SF Daley,ASS Fletcher,A Mohammed,AK Peters,SW Bates
Ayesha Zafar,Nahida Khan,Marina Iqbal,Javeria Khan,Nain Abidi,Sana Mir,Iram Javed,Kainat Imtiaz,Sidra Nawaz,Nashra Sandhu,Diana Baig,AE Satterthwaite
L Wolvaardt,L Lee,T Chetty,M du Preez,M Kapp,D van Niekerk,S Luus,CL Tryon,S Ismail,A Khaka,M Daniels,PG Raut
HK Matthews,Kycia A Knight,SR Taylor,CN Nation,DJS Dottin,MR Aguilleira,Kyshona A Knight,SF Daley,ASS Fletcher,AK Peters,A Mohammed,MDN Hansika
HK Matthews,Kycia A Knight,SR Taylor,CN Nation,DJS Dottin,MR Aguilleira,AK Peters,SF Daley,A Mohammed,0,0,Ayesha Zafar
AC Jayangani,PRCS Kumarihami,GWHM Perera,PM Weerakkody,HASD Siriwardene,MADD Surangika,H Madavi,SS Weerakkody,LE Kaushalya,KADA Kanchana,I Ranaweera,L Wolvaardt
PG Raut,S Mandhana,M Raj,H Kaur,S Verma,J Goswami,S Pandey,DB Sharma,V Krishnamurthy,E Bisht,Poonam Yadav,NE Bolton
L Winfield,TT Beaumont,SJ Taylor,HC Knight,NR Sciver,FC Wilson,KH Brunt,JL Gunn,LA Marsh,A Shrubsole,A Hartley,SW Bates
BL Mooney,NE Bolton,RL Haynes,EA Perry,EJ Villani,AJ Blackwell,AJ Healy,A Gardner,JL Jonassen,ML Schutt,KM Beams,L Wolvaardt
L Winfield,TT Beaumont,SJ Taylor,HC Knight,NR Sciver,FC Wilson,KH Brunt,JL Gunn,LA Marsh,A Shrubsole,A Hartley,HK Matthews
S Mandhana,PG Raut,M Raj,H Kaur,DB Sharma,V Krishnamurthy,S Pandey,S Verma,J Goswami,RS Gayakwad,Poonam Yadav,SW Bates
MDN Hansika,GWHM Perera,AC Jayangani,HASD Siriwardene,MADD Surangika,PM Weerakkody,LE Kaushalya,KADA Kanchana,SS Weerakkody,HHC Gunaratne,I Ranaweera,Ayesha Zafar
AR Patwa,S Khalifa,Jitin Singh,HH Abdallah,KN Mussa,SJ Ally,A Dagar,RK Kiseto,HA Chohan,AM Kimote,N Mapunda,Sulaimon Runsewe
F Baleri,S Ateak,JK Vifah,SK Awiah,JH Mensah,DNA Ankrah,PK Ananya,V Ateak,IKO Aboagye,G Bakiweyem,JO Adotei,J Bangura
R Mosweu,K Motlanka,K Modise,I Master,R Nehonde,T Perera,JWN Moses,A Rangaswamy,N Master,T Tshose,D Maisuria,H Patel
M Mvula,J Chinunga,A Nsensha,H Patel,G Kandela,I Mwaba,Javid Patel,SA Patel,J Zimba,Gladson Kandela,T Nyirongo,J Bangura
AJ Ayannaike,O Olaleye,U Friday,Azeez Salako,OJ Bejide,CN Onwuzulike,JO Adedeji,OA Olympio,IO Okpe,A Mene-Ejegi,AS Abioye,F Baleri
R Mosweu,K Motlanka,K Modise,I Master,R Nehonde,T Perera,A Rangaswamy,JWN Moses,N Master,T Tshose,D Maisuria,AR Patwa
R Mosweu,K Motlanka,K Modise,I Master,R Nehonde,T Perera,JWN Moses,A Rangaswamy,N Master,T Tshose,D Maisuria,F Baleri
J Chinunga,M Mvula,H Patel,SA Patel,A Nsensha,I Mwaba,Javid Patel,G Kandela,J Zimba,T Nyirongo,Gladson Kandela,Jitin Singh
Sulaimon Runsewe,O Olaleye,Azeez Salako,Muhammad Hashim,JO Adedeji,CN Onwuzulike,OJ Bejide,OA Olympio,IO Okpe,A Mene-Ejegi,AS Abioye,J Bangura
M Mvula,J Chinunga,H Patel,SA Patel,A Nsensha,I Mwaba,Javid Patel,G Kandela,Gladson Kandela,T Nyirongo,K Omala,Sulaimon Runsewe
J Bangura,G Ngegba,Y Jalloh,E Kamara,I Kamara,L Lamin,Mohamed Khan,M Mansaray,B Williams,A Gbla,I Komba,R Mosweu
Jitin Singh,KD Kamania,AR Patwa,HH Abdallah,KN Mussa,SJ Ally,HA Chohan,RK Kiseto,A Dagar,N Mapunda,AA Premji,F Baleri
Jitin Singh,KD Kamania,AR Patwa,KN Mussa,A Dagar,AD Kamania,HA Chohan,SJ Ally,AM Kimote,0,0,Y Jalloh
J Chinunga,G Kandela,H Patel,SA Patel,I Mwaba,A Nsensha,J Zimba,Gladson Kandela,Javid Patel,T Nyirongo,K Omala,F Baleri
Rohan Mustafa,Mohammed Qasim,Shaiman Anwar,Rameez Shahzad,Muhammad Usman,Amjad Javed,Ghulam Shabber,Mohammad Naveed,Adnan Mufti,Ahmed Raza,Imran Haider,TP Ura
MH Cross,KJ Coetzer,CS MacLeod,RD Berrington,PL Mommsen,CD Wallace,MA Leask,SM Sharif,AC Evans,CB Sole,CD de Lange,SF Mire
MH Cross,KJ Coetzer,CS MacLeod,RD Berrington,PL Mommsen,CD de Lange,CD Wallace,MA Leask,JH Davey,AC Evans,CB Sole,SF Mire
Iman-ul-Haq,Qalandar Khan,Mohammad Rizlan,Tamoor Sajjad,Nouman Sarwar,Kamran Khan (2),Mohammed Awais,Zaheer Ibrahim,Mohammed Nadeem,Iqbal Hussain,0,Usman Waheed
Imran Ali Butt,Mohammed Sameer,J Chaturanga,Azeem ul Haq,GSPR Arachchige,Muhammad Rafeh,Tahir Dar,Muhammad Safdar,Junaid Aziz,Bilal Mansoor,Babar Ali,Kumar Subba
M Mupachikwa,L Tshuma,CS Mugeri,M Musonda,P Mujaji,SM Mayers,P Marange,J Nkomo,T Granger,N Mutasa,N Sibanda,L Lee
MV Waldron,L Paul,L Delany,GH Lewis,SM Kavanagh,J Gray,LC Boylan,Rachel Delaney,L Maritz,A Beggs,AJ Kenealy,DB Sharma
L Lee,L Wolvaardt,T Chetty,M du Preez,M Kapp,S Luus,N de Klerk,S Ismail,M Klaas,M Daniels,R Ntozakhe,DB Sharma
MV Waldron,L Delany,L Paul,GH Lewis,SM Kavanagh,J Gray,LC Boylan,Rachel Delaney,AJ Kenealy,L Maritz,A Beggs,L Tshuma
L Lee,L Wolvaardt,T Chetty,M du Preez,M Kapp,S Luus,N de Klerk,S Ismail,M Daniels,M Klaas,R Ntozakhe,MV Waldron
L Tshuma,CS Mugeri,M Mupachikwa,SM Mayers,M Musonda,P Mujaji,P Marange,J Nkomo,T Granger,N Mutasa,N Sibanda,V Krishnamurthy
L Tshuma,CS Mugeri,M Mupachikwa,SM Mayers,M Musonda,P Mujaji,P Marange,J Nkomo,T Granger,N Mutasa,N Sibanda,L Lee
L Lee,T Chetty,A Steyn,CL Tryon,M du Preez,S Luus,M Kapp,S Ismail,M Daniels,M Klaas,R Ntozakhe,DB Sharma
MV Waldron,L Paul,GH Lewis,SM Kavanagh,L Delany,J Gray,Rachel Delaney,AJ Kenealy,L Little,L Maritz,A Beggs,L Tshuma
L Tshuma,CS Mugeri,P Marange,M Mupachikwa,AC Mushangwe,SM Mayers,P Mujaji,J Nkomo,T Granger,N Mutasa,E Mbofana,V Krishnamurthy
A Steyn,S Luus,T Chetty,M du Preez,M Kapp,N de Klerk,CL Tryon,S Ismail,A Khaka,M Klaas,R Ntozakhe,DB Sharma
Noor Ali Zadran,Javed Ahmadi,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Afsar Zazai,Gulbadin Naib,Dawlat Zadran,Amir Hamza,Rashid Khan,E Lewis
Noor Ali Zadran,Javed Ahmadi,Rahmat Shah,Samiullah Shenwari,Asghar Stanikzai,Mohammad Nabi,Afsar Zazai,Gulbadin Naib,Rashid Khan,Dawlat Zadran,Amir Hamza,E Lewis
AM Rahane,S Dhawan,V Kohli,HH Pandya,Yuvraj Singh,MS Dhoni,KM Jadhav,B Kumar,UT Yadav,R Ashwin,Kuldeep Yadav,KOA Powell
AM Rahane,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,B Kumar,UT Yadav,HH Pandya,Kuldeep Yadav,R Ashwin,E Lewis
E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,D Bishoo,AR Nurse,AS Joseph,KOK Williams,AM Rahane
E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,AR Nurse,D Bishoo,AS Joseph,KOK Williams,AM Rahane
N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,DAS Gunaratne,LD Madushanka,SL Malinga,N Pradeep,A Dananjaya,MA Aponso,H Masakadza
H Masakadza,SF Mire,CR Ervine,SC Williams,Sikandar Raza,RP Burl,MN Waller,PJ Moor,AG Cremer,DT Tiripano,TL Chatara,N Dickwella
H Masakadza,SF Mire,TK Musakanda,CR Ervine,SC Williams,MN Waller,Sikandar Raza,PJ Moor,CT Mumba,AG Cremer,TL Chatara,N Dickwella
N Dickwella,MD Gunathilaka,AD Mathews,WU Tharanga,DAS Gunaratne,BKG Mendis,PWH de Silva,SL Malinga,AM Fernando,PVD Chameera,PADLR Sandakan,H Masakadza
N Dickwella,BKG Mendis,MD Gunathilaka,WU Tharanga,AD Mathews,DAS Gunaratne,PWH de Silva,KMDN Kulasekara,A Dananjaya,PVD Chameera,SL Malinga,H Masakadza
AT Carey,J Weatherald,TM Head,CA Ingram,JW Wells,JS Lehmann,JR Dean,Rashid Khan,B Stanlake,PM Siddle,B Laughlin,JC Buttler
AJ Doolan,DJM Short,MS Wade,BR McDermott,DT Christian,CA Rose,TS Mills,JC Archer,CJ Boyce,0,0,KR Patterson
AT Carey,J Weatherald,TM Head,CA Ingram,JW Wells,MG Neser,JS Lehmann,Rashid Khan,PM Siddle,B Stanlake,B Laughlin,KR Patterson
MS Harris,AJ Finch,CL White,TLW Cooper,DJ Bravo,Mohammad Nabi,KW Richardson,JD Wildermuth,GB Hogg,0,0,DJ Willey
PSP Handscomb,BR Dunk,KP Pietersen,GJ Maxwell,SE Gotch,JP Faulkner,DJ Worrall,JR Coleman,D Fallins,JW Hastings,EP Gulbis,TP Ludeman
AT Carey,J Weatherald,TM Head,CA Ingram,JW Wells,JS Lehmann,MG Neser,B Stanlake,PM Siddle,B Laughlin,Rashid Khan,MS Harris
MS Harris,MW Short,TLW Cooper,DJ Bravo,KA Pollard,JD Wildermuth,TP Ludeman,BJ Webster,CP Tremain,KW Richardson,JM Holland,JM Vince
MS Wade,DJM Short,GJ Bailey,BR McDermott,DT Christian,S Milenko,NJ Reardon,JC Archer,CJ Boyce,CA Rose,TS Mills,PSP Handscomb
RG Sharma,E Lewis,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,BCJ Cutting,PJ Sangwan,JJ Bumrah,M Markande,Mustafizur Rahman,WP Saha
AM Rahane,DJM Short,SV Samson,BA Stokes,JC Buttler,RA Tripathi,K Gowtham,DS Kulkarni,JD Unadkat,S Gopal,B Laughlin,BB McCullum
SA Yadav,Ishan Kishan,RG Sharma,E Lewis,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,JJ Bumrah,Mustafizur Rahman,M Markande,V Kohli
AM Rahane,DJM Short,SV Samson,RA Tripathi,BA Stokes,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin,SP Narine
SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DL Chahar,SN Thakur,Imran Tahir,KV Sharma,AM Rahane
CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav,KL Rahul
SA Yadav,E Lewis,Ishan Kishan,KA Pollard,RG Sharma,KH Pandya,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman,AM Rahane
KL Rahul,AJ Finch,MA Agarwal,KK Nair,Yuvraj Singh,DA Miller,R Ashwin,AJ Tye,BB Sran,AS Rajpoot,Mujeeb Ur Rahman,PP Shaw
Q de Kock,V Kohli,AB de Villiers,CJ Anderson,Mandeep Singh,C de Grandhomme,P Negi,Washington Sundar,UT Yadav,Mohammed Siraj,YS Chahal,SR Watson
PP Shaw,C Munro,SS Iyer,RR Pant,GJ Maxwell,V Shankar,TA Boult,Avesh Khan,LE Plunkett,A Mishra,R Tewatia,CA Lynn
M Vohra,Q de Kock,BB McCullum,V Kohli,Mandeep Singh,Washington Sundar,C de Grandhomme,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal,SA Yadav
KL Rahul,CH Gayle,Yuvraj Singh,KK Nair,AR Patel,MP Stoinis,MA Agarwal,R Ashwin,AS Rajpoot,AJ Tye,Mujeeb Ur Rahman,SA Yadav
SA Yadav,E Lewis,RG Sharma,HH Pandya,KH Pandya,JP Duminy,MJ McClenaghan,JJ Bumrah,M Markande,BCJ Cutting,0,CA Lynn
SA Yadav,E Lewis,Ishan Kishan,KH Pandya,RG Sharma,KA Pollard,HH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah,KL Rahul
PP Shaw,GJ Maxwell,SS Iyer,RR Pant,V Shankar,Abhishek Sharma,S Lamichhane,TA Boult,HV Patel,LE Plunkett,A Mishra,SA Yadav
S Dhawan,KS Williamson,SP Goswami,MK Pandey,Shakib Al Hasan,YK Pathan,CR Brathwaite,B Kumar,Sandeep Sharma,S Kaul,Rashid Khan,SR Watson
SP Narine,RV Uthappa,CA Lynn,N Rana,KD Karthik,Shubman Gill,AD Russell,JPR Scantlebury-Searles,PP Chawla,M Prasidh Krishna,Kuldeep Yadav,AM Rahane
WP Saha,S Dhawan,KS Williamson,Shakib Al Hasan,DJ Hooda,YK Pathan,CR Brathwaite,Rashid Khan,B Kumar,KK Ahmed,S Kaul,CA Lynn
SP Goswami,S Dhawan,KS Williamson,Shakib Al Hasan,YK Pathan,DJ Hooda,CR Brathwaite,B Kumar,Sandeep Sharma,S Kaul,Rashid Khan,SR Watson
JJ Roy,JM Bairstow,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,LE Plunkett,JC Archer,AU Rashid,Q de Kock
Imam-ul-Haq,Fakhar Zaman,Babar Azam,Haris Sohail,Sarfraz Ahmed,Mohammad Hafeez,Imad Wasim,Shadab Khan,Hasan Ali,Wahab Riaz,Mohammad Amir,CH Gayle
HDRL Thirimanne,MDKJ Perera,FDM Karunaratne,BKG Mendis,DM de Silva,AD Mathews,BMAJ Mendis,NLTC Perera,I Udana,RAS Lakmal,SL Malinga,MJ Guptill
Mohammad Shahzad,Rahmat Shah,Hazratullah,Hashmatullah Shahidi,Mohammad Nabi,Gulbadin Naib,Najibullah Zadran,Rashid Khan,Dawlat Zadran,Mujeeb Ur Rahman,Hamid Hassan,AJ Finch
Tamim Iqbal,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Mohammad Mithun,Mahmudullah,Mosaddek Hossain,Mehedi Hasan Miraz,Mustafizur Rahman,Mohammad Saifuddin,Mashrafe Mortaza,Q de Kock
Imam-ul-Haq,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Sarfraz Ahmed,Asif Ali,Shoaib Malik,Wahab Riaz,Hasan Ali,Shadab Khan,Mohammad Amir,JJ Roy
FDM Karunaratne,MDKJ Perera,HDRL Thirimanne,BKG Mendis,AD Mathews,DM de Silva,NLTC Perera,I Udana,RAS Lakmal,SL Malinga,N Pradeep,Mohammad Shahzad
HM Amla,Q de Kock,F du Plessis,HE van der Dussen,DA Miller,JP Duminy,AL Phehlukwayo,CH Morris,K Rabada,Imran Tahir,T Shamsi,S Dhawan
Tamim Iqbal,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Mohammad Mithun,Mahmudullah,Mosaddek Hossain,Mohammad Saifuddin,Mehedi Hasan Miraz,Mashrafe Mortaza,Mustafizur Rahman,MJ Guptill
DA Warner,AJ Finch,UT Khawaja,SPD Smith,GJ Maxwell,MP Stoinis,AT Carey,NM Coulter-Nile,PJ Cummins,MA Starc,A Zampa,CH Gayle
JJ Roy,JM Bairstow,JE Root,JC Buttler,EJG Morgan,BA Stokes,CR Woakes,LE Plunkett,JC Archer,MA Wood,AU Rashid,Tamim Iqbal
Hazratullah,Noor Ali Zadran,Rahmat Shah,Hashmatullah Shahidi,Gulbadin Naib,Mohammad Nabi,Najibullah Zadran,Ikram Alikhil,Rashid Khan,Aftab Alam,Hamid Hassan,MJ Guptill
AJ Finch,DA Warner,SPD Smith,GJ Maxwell,SE Marsh,UT Khawaja,AT Carey,NM Coulter-Nile,PJ Cummins,MA Starc,KW Richardson,Imam-ul-Haq
CH Gayle,E Lewis,SD Hope,N Pooran,SO Hetmyer,JO Holder,AD Russell,CR Brathwaite,SS Cottrell,O Thomas,ST Gabriel,JM Bairstow
DA Warner,AJ Finch,UT Khawaja,SPD Smith,GJ Maxwell,SE Marsh,AT Carey,PJ Cummins,MA Starc,JP Behrendorff,KW Richardson,FDM Karunaratne
Hazratullah,Noor Ali Zadran,Rahmat Shah,Hashmatullah Shahidi,Asghar Stanikzai,Mohammad Nabi,Ikram Alikhil,Gulbadin Naib,Rashid Khan,Hamid Hassan,Aftab Alam,HM Amla
Q de Kock,HM Amla,F du Plessis,AK Markram,HE van der Dussen,DA Miller,AL Phehlukwayo,CH Morris,K Rabada,L Ngidi,Imran Tahir,MJ Guptill
DA Warner,AJ Finch,UT Khawaja,GJ Maxwell,MP Stoinis,SPD Smith,AT Carey,MA Starc,PJ Cummins,NM Coulter-Nile,A Zampa,Tamim Iqbal
FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,BMAJ Mendis,DM de Silva,NLTC Perera,I Udana,SL Malinga,N Pradeep,JM Vince
KL Rahul,RG Sharma,V Kohli,V Shankar,MS Dhoni,KM Jadhav,HH Pandya,Mohammed Shami,Kuldeep Yadav,JJ Bumrah,YS Chahal,Hazratullah
MJ Guptill,KS Williamson,C Munro,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,TA Boult,LH Ferguson,CH Gayle
Imam-ul-Haq,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Haris Sohail,Imad Wasim,Wahab Riaz,Sarfraz Ahmed,Shadab Khan,Mohammad Amir,Shaheen Shah Afridi,HM Amla
Liton Das,Tamim Iqbal,Shakib Al Hasan,Mushfiqur Rahim,Soumya Sarkar,Mahmudullah,Mosaddek Hossain,Mohammad Saifuddin,Mashrafe Mortaza,Mustafizur Rahman,Mehedi Hasan Miraz,Gulbadin Naib
